"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","4","FBF",192.008,15.6356061125084,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",254.088,17.9865196589743,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",197.774,15.8686381810303,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",228.814,17.0685392810583,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",259.374,18.172650705831,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",230.736,17.1400758339633,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",239.77,17.4723966770775,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",238.04,17.4092487267187,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",270.618,18.5623688983152,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",243.806,17.6188376587022,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",258.317,18.1355843434214,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",265.909,18.4001590781434,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",248.707,17.7950439013914,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",260.623,18.2163528146419,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",254.569,18.0035362544053,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",266.87,18.4333783475377,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",263.698,18.323501888765,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",263.314,18.3101555832384,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",234.1,17.2645700039851,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",238.712,17.433805040863,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",242.653,17.5771270476327,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",244.094,17.6292408637634,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",233.235,17.2326441736695,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",269.849,18.53597631384,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",236.887,17.3670347507477,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",245.92,17.695057751849,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",261.008,18.2298027167667,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",245.632,17.6846932643003,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",264.083,18.3368731983481,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",278.69,18.8371741172141,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",252.551,17.9320361437961,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",255.242,18.0273183773209,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",285.225,19.0567507499859,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",248.034,17.7709509379448,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",261.104,18.233154913194,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",271.386,18.5886897625276,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",244.767,17.653527229599,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",243.902,17.6223060761069,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",257.74,18.1153183869354,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",265.044,18.3702069094168,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",257.26,18.0984420677186,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",245.151,17.667369573068,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",246.977,17.7330449455263,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",244.767,17.653527229599,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",257.644,18.1119443810913,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",243.902,17.6223060761069,"CS2021","monoecious"
"Ambrosia artemisiifolia","5","FBF",263.314,18.3101555832384,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",236.118,17.3388227634917,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",249.283,17.8156384513779,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",258.605,18.1456912920461,"CS2021","monoecious"
