"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Ambrosia artemisiifolia","2021-09-20","LP","13","C",7,2,91,NA,NA,77,77,87,119,122,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","14","A",0,2,33,NA,NA,113,120,70,137,145,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","14","B",13,2,27,NA,NA,113,120,70,137,145,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","14","C",6,2,22,NA,NA,113,120,70,137,145,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","15","A",27,2,70,NA,NA,22,46,40,22,29,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","15","B",25,2,46,NA,NA,22,46,40,22,29,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","15","C",19,2,70,NA,NA,22,46,40,22,29,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S5","B",32,3,33,NA,NA,42,67,73,60,75,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S1","A",4,3,36,NA,NA,70,83,62,46,77,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S1","B",24,3,28,NA,NA,70,83,62,46,77,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S1","C",7,3,20,NA,NA,70,83,62,46,77,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S2","A",13,3,43,NA,NA,65,48,9,59,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S2","B",5,3,29,NA,NA,65,48,9,59,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S2","C",6,3,20,NA,NA,65,48,9,59,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S3","A",3,3,29,NA,NA,11,10,27,29,40,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S3","B",102,3,26,NA,NA,11,10,27,29,40,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S3","C",21,3,20,NA,NA,11,10,27,29,40,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S4","A",5,3,57,NA,NA,35,40,47,8,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S4","B",14,3,51,NA,NA,35,40,47,8,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S4","C",7,3,44,NA,NA,35,40,47,8,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S5","A",13,3,38,NA,NA,42,67,73,60,75,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S5","C",105,3,24,NA,NA,42,67,73,60,75,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S6","A",7,3,24,NA,NA,17,33,44,38,86,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S6","B",17,3,21,NA,NA,17,33,44,38,86,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S6","C",4,3,18,NA,NA,17,33,44,38,86,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S7","A",3,3,71,NA,NA,33,76,90,110,81,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S7","B",21,3,53,NA,NA,33,76,90,110,81,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S7","C",7,3,36,NA,NA,33,76,90,110,81,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S8","A",48,3,43,NA,NA,33,79,52,74,87,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S8","B",7,3,38,NA,NA,33,79,52,74,87,NA,"CS2021"
