"Species","Date","Site","Label","Anther","Subsample","Tot_tube_vol_uL","Subsample_vol_uL","Pollen_sub","Observer","N_anth_tube","Anth_per_flw","polanth","count_method","source","Sex_sys"
"Plantago lanceolata","18 Aug 2021","FBF","A3",NA,"2",600,2.5,54,"Claire",1,4,12960,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A3",NA,"3",600,2.5,59,"Claire",1,4,14160,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A4",NA,"1",600,2.5,53,"Claire",1,4,12720,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A4",NA,"2",600,2.5,63,"Claire",1,4,15120,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A4",NA,"3",600,2.5,75,"Claire",1,4,18000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A7",NA,"1",700,2.5,22,"Claire",1,4,6160,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A7",NA,"2",700,2.5,23,"Claire",1,4,6440,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","18 Aug 2021","FBF","A7",NA,"3",700,2.5,36,"Claire",1,4,10080,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"1",600,2.5,90,"Claire",1,4,21600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"2",600,2.5,68,"Claire",1,4,16320,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"3",600,2.5,88,"Claire",1,4,21120,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"4",600,2.5,74,"Claire",1,4,17760,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"5",600,2.5,54,"Claire",1,4,12960,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A1",NA,"6",600,2.5,38,"Claire",1,4,9120,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A2",NA,"1",600,2.5,46,"Claire",1,4,11040,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A2",NA,"2",600,2.5,38,"Claire",1,4,9120,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A2",NA,"3",600,2.5,46,"Claire",1,4,11040,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A3",NA,"1",600,2.5,41,"Claire",1,4,9840,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A3",NA,"2",600,2.5,50,"Claire",1,4,12000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A3",NA,"3",600,2.5,46,"Claire",1,4,11040,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A4",NA,"1",700,2.5,42,"Claire",1,4,11760,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A4",NA,"2",700,2.5,37,"Claire",1,4,10360,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A4",NA,"3",700,2.5,35,"Claire",1,4,9800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A5",NA,"1",700,5,86,"Claire",1,4,12040,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A5",NA,"2",700,5,86,"Claire",1,4,12040,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A5",NA,"3",700,5,79,"Claire",1,4,11060,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A5",NA,"4",700,5,69,"Claire",1,4,9660,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A6",NA,"1",800,5,98,"Claire",1,4,15680,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A6",NA,"2",800,5,104,"Claire",1,4,16640,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A6",NA,"3",800,5,97,"Claire",1,4,15520,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A7",NA,"1",800,5,77,"Claire",1,4,12320,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A7",NA,"2",800,5,70,"Claire",1,4,11200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A7",NA,"3",800,5,70,"Claire",1,4,11200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A8",NA,"1",800,5,65,"Claire",1,4,10400,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A8",NA,"2",800,5,58,"Claire",1,4,9280,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A8",NA,"3",800,5,66,"Claire",1,4,10560,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A8",NA,"4",800,5,54,"Claire",1,4,8640,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A9",NA,"1",800,5,61,"Claire",1,4,9760,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A9",NA,"2",800,5,62,"Claire",1,4,9920,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A9",NA,"3",800,5,47,"Claire",1,4,7520,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A10",NA,"1",800,5,67,"Claire",1,4,10720,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A10",NA,"2",800,5,65,"Claire",1,4,10400,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A10",NA,"3",800,5,60,"Claire",1,4,9600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","20 Aug 2021","QMP","A10",NA,"4",800,5,72,"Claire",1,4,11520,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M1",NA,"1",700,5,280,"Claire",4,4,9800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M1",NA,"2",700,5,375,"Claire",4,4,13125,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M1",NA,"3",700,5,342,"Claire",4,4,11970,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M8",NA,"1",700,5,332,"Claire",4,4,11620,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M8",NA,"2",700,5,371,"Claire",4,4,12985,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M8",NA,"3",700,5,341,"Claire",4,4,11935,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M4",NA,"1",650,5,250,"Claire",4,4,8125,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M4",NA,"2",650,5,256,"Claire",4,4,8320,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M4",NA,"3",650,5,231,"Claire",4,4,7507.5,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","1",500,5,175,"Claire",1,4,17500,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","2",500,5,161,"Claire",1,4,16100,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","3",500,5,140,"Claire",1,4,14000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","4",500,5,143,"Claire",1,4,14300,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","5",500,5,141,"Claire",1,4,14100,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","6",500,5,198,"Claire",1,4,19800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","7",500,5,137,"Claire",1,4,13700,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","8",500,5,136,"Claire",1,4,13600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","9",500,5,130,"Claire",1,4,13000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","1",500,5,150,"Claire",1,4,15000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","2",500,5,176,"Claire",1,4,17600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","1","3",500,5,207,"Claire",1,4,20700,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","4",500,5,115,"Claire",1,4,11500,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","5",500,5,111,"Claire",1,4,11100,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","2","6",500,5,89,"Claire",1,4,8900,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","7",500,5,152,"Claire",1,4,15200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","8",500,5,174,"Claire",1,4,17400,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","9",500,5,178,"Claire",1,4,17800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","10",500,5,175,"Claire",1,4,17500,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","11",500,5,166,"Claire",1,4,16600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M2","3","12",500,5,148,"Claire",1,4,14800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","1","1",500,5,103,"Claire",1,4,10300,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","1","2",500,5,122,"Claire",1,4,12200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","1","3",500,5,114,"Claire",1,4,11400,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","2","4",500,5,105,"Claire",1,4,10500,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","2","5",500,5,101,"Claire",1,4,10100,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M3","2","6",500,5,109,"Claire",1,4,10900,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","1","1",500,5,47,"Claire",1,4,4700,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","1","2",500,5,46,"Claire",1,4,4600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","1","3",500,5,48,"Claire",1,4,4800,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","2","4",500,5,72,"Claire",1,4,7200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","2","5",500,5,82,"Claire",1,4,8200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M11","2","6",500,5,66,"Claire",1,4,6600,"manual","CS2021","hermaphroditic"
