Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Plantago lanceolata,31 Jul 2021,KM,M3,2,5,,,,500,5,101,10100,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M3,2,6,,,,500,5,109,10900,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,1,1,,,,500,5,47,4700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,1,2,,,,500,5,46,4600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,1,3,,,,500,5,48,4800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,2,4,,,,500,5,72,7200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,2,5,,,,500,5,82,8200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M11,2,6,,,,500,5,66,6600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,1,1,,,,500,5,129,12900,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,1,2,,,,500,5,127,12700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,1,3,,,,500,5,116,11600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,2,4,,,,500,5,126,12600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,2,5,,,,500,5,126,12600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,2,6,,,,500,5,127,12700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,3,7,,,,500,5,113,11300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,3,8,,,,500,5,102,10200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M7,3,9,,,,500,5,104,10400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,1,1,,,,500,5,120,12000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,1,2,,,,500,5,112,11200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,1,3,,,,500,5,110,11000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,2,4,,,,500,5,122,12200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,2,5,,,,500,5,100,10000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,2,6,,,,500,5,103,10300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,3,7,,,,500,5,103,10300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,3,8,,,,500,5,106,10600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,3,9,,,,500,5,109,10900,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,4,10,,,,500,5,88,8800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,4,11,,,,500,5,96,9600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M12,4,12,,,,500,5,77,7700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,1,1,,,,500,5,140,14000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,1,2,,,,500,5,135,13500,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,1,3,,,,500,5,114,11400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,2,4,,,,500,5,146,14600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,2,5,,,,500,5,138,13800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M10,2,6,,,,500,5,137,13700,Claire,1,4,
