"Species","Site","Date","Plant","Flower","Flower_extra","Stigma","Pollen","Ovule_dev","Stigmas_per_flw","FlowerID","StigCountsTF","Plantnum","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Observer"
"Amaranthus sp","FBF2",2021-08-14,"S8","A",1,NA,8,4,3,"14 Aug 2021-S8-A-1",FALSE,"8",59,83,232,240,260,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S8","B",1,NA,150,3,3,"14 Aug 2021-S8-B-1",FALSE,"8",45,83,232,240,260,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S8","C",1,NA,16,4,3,"14 Aug 2021-S8-C-1",FALSE,"8",35,83,232,240,260,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S9","A",1,NA,1,3,3,"14 Aug 2021-S9-A-1",FALSE,"9",30,19,33,64,99,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S9","A",2,NA,14,3,3,"14 Aug 2021-S9-A-2",FALSE,"9",30,19,33,64,99,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S9","A",3,NA,10,3,3,"14 Aug 2021-S9-A-3",FALSE,"9",30,19,33,64,99,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S9","B",1,NA,3,3,3,"14 Aug 2021-S9-B-1",FALSE,"9",26,19,33,64,99,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S9","C",1,NA,44,2,3,"14 Aug 2021-S9-C-1",FALSE,"9",18,19,33,64,99,280,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S10","A",1,NA,2,3,3,"14 Aug 2021-S10-A-1",FALSE,"10",39,50,30,47,60,220,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S10","B",1,NA,12,3,3,"14 Aug 2021-S10-B-1",FALSE,"10",30,50,30,47,60,220,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S10","C",1,NA,18,4,3,"14 Aug 2021-S10-C-1",FALSE,"10",19,50,30,47,60,220,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S10","C",2,NA,4,4,3,"14 Aug 2021-S10-C-2",FALSE,"10",19,50,30,47,60,220,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S10","C",3,NA,8,3,3,"14 Aug 2021-S10-C-3",FALSE,"10",19,50,30,47,60,220,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S11","A",1,NA,1,3,3,"14 Aug 2021-S11-A-1",FALSE,"11",61,134,180,330,310,80,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S11","B",1,NA,1,3,3,"14 Aug 2021-S11-B-1",FALSE,"11",50,134,180,330,310,80,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S11","C",1,NA,40,3,3,"14 Aug 2021-S11-C-1",FALSE,"11",42,134,180,330,310,80,NA,"44.336944","-76.398611","Claire"
