"Species","Site","Date","Plant","Flower","Stigma","Pollen","Obs_count","Notes","StigCountsTF","Stigmas_per_flw","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Obs_field","PlantID"
"Ambrosia artemisiifolia","LP",2021-09-20,7,"C",NA,16,"Claire","",FALSE,"2",66,69,80,42,97,99,"10:00 AM",44.221525,-76.606732,"Claire","2021-09-20 7"
"Ambrosia artemisiifolia","LP",2021-09-20,8,"A",NA,7,"Claire","",FALSE,"2",74,19,17,21,15,29,"10:00 AM",44.221525,-76.606732,"Claire","2021-09-20 8"
"Ambrosia artemisiifolia","LP",2021-09-20,8,"B",NA,50,"Claire","",FALSE,"2",62,19,17,21,15,29,"10:00 AM",44.221525,-76.606732,"Claire","2021-09-20 8"
"Ambrosia artemisiifolia","LP",2021-09-20,8,"C",NA,5,"Claire","",FALSE,"2",43,19,17,21,15,29,"10:00 AM",44.221525,-76.606732,"Claire","2021-09-20 8"
"Ambrosia artemisiifolia","LP",2021-09-20,9,"A",NA,48,"Claire","",FALSE,"2",55,64,95,58,112,140,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 9"
"Ambrosia artemisiifolia","LP",2021-09-20,9,"B",NA,104,"Claire","",FALSE,"2",59,64,95,58,112,140,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 9"
"Ambrosia artemisiifolia","LP",2021-09-20,9,"C",NA,23,"Claire","",FALSE,"2",51,64,95,58,112,140,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 9"
"Ambrosia artemisiifolia","LP",2021-09-20,10,"A",NA,33,"Claire","",FALSE,"2",41,52,83,84,107,120,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 10"
"Ambrosia artemisiifolia","LP",2021-09-20,10,"B",NA,6,"Claire","",FALSE,"2",41,52,83,84,107,120,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 10"
"Ambrosia artemisiifolia","LP",2021-09-20,10,"C",NA,7,"Claire","",FALSE,"2",34,52,83,84,107,120,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 10"
"Ambrosia artemisiifolia","LP",2021-09-20,11,"A",NA,3,"Claire","",FALSE,"2",56,34,39,37,53,56,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 11"
"Ambrosia artemisiifolia","LP",2021-09-20,11,"B",NA,15,"Claire","",FALSE,"2",69,34,39,37,53,56,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 11"
"Ambrosia artemisiifolia","LP",2021-09-20,11,"C",NA,2,"Claire","",FALSE,"2",63,34,39,37,53,56,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 11"
"Ambrosia artemisiifolia","LP",2021-09-20,12,"A",NA,11,"Claire","",FALSE,"2",49,18,23,31,20,36,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 12"
"Ambrosia artemisiifolia","LP",2021-09-20,12,"B",NA,151,"Claire","",FALSE,"2",46,18,23,31,20,36,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 12"
"Ambrosia artemisiifolia","LP",2021-09-20,12,"C",NA,6,"Claire","",FALSE,"2",52,18,23,31,20,36,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 12"
"Ambrosia artemisiifolia","LP",2021-09-20,13,"A",NA,12,"Claire","",FALSE,"2",84,77,77,87,119,122,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 13"
"Ambrosia artemisiifolia","LP",2021-09-20,13,"B",NA,0,"Claire","",FALSE,"2",69,77,77,87,119,122,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 13"
"Ambrosia artemisiifolia","LP",2021-09-20,13,"C",NA,7,"Claire","",FALSE,"2",91,77,77,87,119,122,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 13"
"Ambrosia artemisiifolia","LP",2021-09-20,14,"A",NA,0,"Claire","",FALSE,"2",33,113,120,70,137,145,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 14"
"Ambrosia artemisiifolia","LP",2021-09-20,14,"B",NA,13,"Claire","",FALSE,"2",27,113,120,70,137,145,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 14"
"Ambrosia artemisiifolia","LP",2021-09-20,14,"C",NA,6,"Claire","",FALSE,"2",22,113,120,70,137,145,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 14"
"Ambrosia artemisiifolia","LP",2021-09-20,15,"A",NA,27,"Claire","",FALSE,"2",70,22,46,40,22,29,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 15"
"Ambrosia artemisiifolia","LP",2021-09-20,15,"B",NA,25,"Claire","",FALSE,"2",46,22,46,40,22,29,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 15"
"Ambrosia artemisiifolia","LP",2021-09-20,15,"C",NA,19,"Claire","",FALSE,"2",70,22,46,40,22,29,"10:00 AM",44.221525,-76.606732,"Isabeau","2021-09-20 15"
