"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-06,"WCK","F15",1,1,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",1,2,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",1,3,NA,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",2,1,0,"Claire","samples kind of dirty, hard to tell",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",2,2,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",2,3,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",3,1,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",3,2,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F15",3,3,0,"Claire","",18.5,NA,82,72,155,89,91,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",1,1,0,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",1,2,0,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",1,3,0,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",2,1,1,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",2,2,0,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",2,3,NA,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",3,1,3,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",3,2,1,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F5",3,3,0,"Claire","",13.9,NA,57,92,76,93,106,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",1,1,1,"Claire","4 big and a little spiky, 1 dark red and slightly wrinkled (I think this is r acetosella), one smaller paler and crumpled, 4(?) smaller look like they're attached to big ones",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",1,2,0,"Claire","very unsure",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",1,3,0,"Claire","very unsure",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",2,1,3,"Claire","very unsure",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",2,2,0,"Claire","very unsure",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",2,3,0,"Claire","very unsure",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",3,1,0,"Claire","",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",3,2,0,"Claire","",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F8",3,3,0,"Claire","",12.6,NA,51.8,88.5,132.5,162,48.7,"Claire"
"Rumex acetosella",2021-06-09,"KMW","F11",1,1,3,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F11",1,2,1,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F11",1,3,0,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F11",2,1,1,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F11",2,2,0,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F11",2,3,0,"Jeremiah","",24.7,60,66,97,120,110,116,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F18",1,1,2,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F18",1,2,0,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F18",1,3,0,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
