Species,Date,Site,Plant,Flower,Stigma,Pollen,Observer,Lat,Long,Notes
Plantago lanceolata,18-Aug-21,FBF,S15,1,NA,72,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S15,2,NA,5,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S15,3,NA,7,Claire,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S1,1,NA,117,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S1,2,NA,208,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S1,3,NA,187,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S2,1,NA,211,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S2,2,NA,171,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S2,3,NA,372,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S3,1,NA,13,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S3,2,NA,61,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S3,3,NA,116,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S4,1,NA,10,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S4,2,NA,112,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S4,3,NA,94,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S5,1,NA,175,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S5,2,NA,41,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S5,3,NA,226,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S6,1,NA,72,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S6,2,NA,194,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S6,3,NA,NA,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S7,1,NA,47,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S7,2,NA,43,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S7,3,NA,90,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S8,1,NA,7,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S8,2,NA,74,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S8,3,NA,NA,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S9,1,NA,152,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S9,2,NA,90,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S9,3,NA,116,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S10,1,NA,113,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S10,2,NA,93,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S10,3,NA,69,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S11,1,NA,20,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S11,2,NA,41,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S11,3,NA,72,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S12,1,NA,30,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S12,2,NA,144,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S12,3,NA,3,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S13,1,NA,296,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S13,2,NA,138,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S13,3,NA,56,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S14,1,NA,53,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S14,2,NA,47,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S14,3,NA,68,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S15,1,NA,187,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S15,2,NA,66,Jeremiah,44.292778,-76.444444,
Plantago lanceolata,20-Aug-21,QMP,S15,3,NA,199,Jeremiah,44.292778,-76.444444,
