ind,pos,npollen,nstigma,npoll,jday,spp,H1,H2,D1,D2,D3,D4,D5,O1,O2,O3,O4,O5,dmean,lnpollen,treat,mwsp,vwsp,medwsp,qrange,time,arch,mstigl,mstigbl,mstigsa,h3,lmwsp,_TYPE_,_FREQ_,mpolcnt,mpollsize,vpolcnt,vpollsize,count,count2
C09,3,196,2,,1213,arepens,108.2,98.2,21,21.5,16,21,33,160,240,85,320,185,0.044444444,5.283203729,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,10,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C07,1,68,2,,1213,arepens,110,97,10,17.5,32,38,45,220,320,10,310,270,0.035087719,4.234106505,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C07,2,317,2,,1213,arepens,110,97,10,17.5,32,38,45,220,320,10,310,270,0.035087719,5.762051383,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C07,2,195,2,,1213,arepens,110,97,10,17.5,32,38,45,220,320,10,310,270,0.035087719,5.278114659,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C05,1,41,2,,1213,arepens,103.2,91.2,17,19,23,11,29,310,240,210,40,10,0.050505051,3.737669618,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C05,2,213,2,,1213,arepens,103.2,91.2,17,19,23,11,29,310,240,210,40,10,0.050505051,5.365976015,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C05,3,89,2,,1213,arepens,103.2,91.2,17,19,23,11,29,310,240,210,40,10,0.050505051,4.49980967,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C03,2,125,2,,1213,arepens,108.6,96.6,17,16,14,18,15,355,350,270,200,150,0.0625,4.836281907,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N14,2,206,2,,1214,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,5.332718793,N,1.338235294,0.512083406,1.06,1.115,,compact,2.90141339,0.801752443,4.223703698,13,0.291351801,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.5,0.25
N12,3,94,2,,1214,arepens,118.4,104.7,15,18,12,11,18,20,120,110,270,350,0.067567568,4.553876892,N,1.338235294,0.512083406,1.06,1.115,,compact,2.90141339,0.801752443,4.223703698,13.7,0.291351801,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.5,0.25
N08,2,170,2,,1214,arepens,105.5,91.6,23,35,24,23,10,80,165,250,260,0,0.043478261,5.141663557,N,1.338235294,0.512083406,1.06,1.115,,compact,2.90141339,0.801752443,4.223703698,13.9,0.291351801,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.5,0.25
N08,2,50,2,,1214,arepens,105.5,91.6,23,35,24,23,10,80,165,250,260,0,0.043478261,3.931825633,N,1.338235294,0.512083406,1.06,1.115,,compact,2.90141339,0.801752443,4.223703698,13.9,0.291351801,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.5,0.25
